Painel,Cenario_Injetado,Esperado,Decisao_PAND,Acerto,Relatorio_Completo,Tempo_s
painel_12,A (Convergência Ruim),LIMPEZA_CORRETIVA,INSPECAO_AMBIGUIDADE,False,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: INSPECAO_AMBIGUIDADE]

**Contexto:** O painel_12 apresenta uma eficiência de 55.0%, abaixo do limiar mínimo aceitável de 70%, com detecções visuais de anomalias como **Defective** e **Dust** com baixa confiança. A baixa eficiência e as detecções visuais sugerem uma possível perda mensurável devido à sujeira ou problemas elétricos.

**Causa Raiz:** A causa raiz não pode ser determinada com certeza devido à ambiguidade nas detecções visuais e à baixa eficiência do painel, que pode ser indicativa de problemas elétricos internos ou sujeira.

**Contramedidas:** Realizar uma inspeção mais detalhada do painel para avaliar sua condição e determinar a melhor ação, seja limpeza, manutenção elétrica ou outras intervenções necessárias.

**Prazo Sugerido:** Reavaliação em 72h com nova coleta de dados.",26.38
painel_78,A (Convergência Ruim),LIMPEZA_CORRETIVA,INSPECAO_AMBIGUIDADE,False,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: INSPECAO_AMBIGUIDADE]

**Contexto:** O painel_78 apresenta uma eficiência de 51.0%, abaixo do limiar mínimo aceitável de 70%, com detecções de **Defective** e **Dust** pelo sistema de visão computacional YOLO, indicando uma possível perda de eficiência devido a sujeira ou defeito.

**Causa Raiz:** A causa raiz não está claramente definida devido à ambiguidade dos dados, mas a combinação de baixa eficiência e detecções de anomalias visuais sugere que pode haver uma falha interna, sujeira ou defeito no painel que está afetando o desempenho.

**Contramedidas:** Realizar uma inspeção mais detalhada do painel_78 para determinar a causa exata da perda de eficiência e das anomalias detectadas pelo YOLO, considerando a possibilidade de sujeira, defeito ou falha interna.

**Prazo Sugerido:** 
- INSPECAO_AMBIGUIDADE → Reavaliação em 72h com nova coleta de dados.",28.7
painel_44,A (Convergência Ruim),LIMPEZA_CORRETIVA,INSPECAO_AMBIGUIDADE,False,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: INSPECAO_AMBIGUIDADE]

**Contexto:** O painel_44 apresenta uma eficiência de 60.3%, abaixo do limiar mínimo aceitável de 70%, com uma detecção visual de ""Defective"" e um score de confiança de 0.44, indicando uma situação de ambiguidade.

**Causa Raiz:** A causa raiz não é clara, pois a combinação da detecção visual de sujeira com a baixa eficiência elétrica sugere que pode haver tanto problemas de sujeira quanto problemas elétricos internos, necessitando de uma investigação mais detalhada.

**Contramedidas:** Realizar uma inspeção física mais aprofundada ou monitoramento detalhado para determinar a causa exata da baixa eficiência e decidir sobre a intervenção mais adequada, seja limpeza, manutenção elétrica ou outra medida corretiva.

**Prazo Sugerido:** 
- INSPECAO_AMBIGUIDADE → Reavaliação em 72h com nova coleta de dados.",14.71
painel_54,A (Convergência Ruim),LIMPEZA_CORRETIVA,MANUTENCAO_ELETRICA,False,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: MANUTENCAO_ELETRICA]

**Contexto:** O painel_54 apresenta uma eficiência de 45.0%, indicando perda severa de geração. A detecção de anomalia pelo sistema YOLO não explica a queda de eficiência, sugerindo uma causa interna ou elétrica.

**Causa Raiz:** Falha ou degradação interna do painel ou do sistema de geração de energia, como microcracks, degradação de células, falha de string ou conexões oxidadas.

**Contramedidas:** Realizar manutenção elétrica especializada para identificar e corrigir a causa raiz do problema.

**Prazo Sugerido:** Urgente (≤ 48h), risco de dano permanente ao ativo.",4.49
painel_43,A (Convergência Ruim),LIMPEZA_CORRETIVA,LIMPEZA_CORRETIVA,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: LIMPEZA_CORRETIVA]

**Contexto:** O painel_43 apresenta uma eficiência de 62.6%, abaixo do limiar mínimo aceitável de 80%, com detecção de sujeira (Dust) por meio do laudo visual do YOLO, indicando necessidade de intervenção para recuperação da eficiência.

**Causa Raiz:** A sujeira detectada com baixa confiança pelo YOLO, combinada com a perda de eficiência abaixo de 80%, justifica a intervenção para limpeza corretiva do painel.

**Contramedidas:** Realizar limpeza corretiva do painel_43 para remover a sujeira detectada e tentar recuperar a eficiência do painel.

**Prazo Sugerido:** 
- LIMPEZA_CORRETIVA → Próxima janela de manutenção programada (≤ 7 dias)",4.98
painel_68,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_68 apresenta uma eficiência de 97.3%, acima do limite de 88%, indicando operação normal. A detecção de sujeira pelo YOLO tem baixa confiança, não justificando intervenção.

**Causa Raiz:** A detecção visual de sujeira com baixa confiança (0.35) não é suficiente para justificar uma limpeza, considerando a alta eficiência do painel.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",22.75
painel_05,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_05 apresenta uma eficiência de 92.4%, acima do limite de 88% estabelecido, indicando operação dentro de parâmetros saudáveis. A detecção visual pelo YOLO sugere sujeira, mas a eficiência alta contradiz a necessidade de intervenção.

**Causa Raiz:** A causa raiz é a discordância entre a detecção visual pelo YOLO e a eficiência real do painel, que está acima do limite estabelecido, tornando a detecção um falso positivo econômico.

**Contramedidas:** Nenhuma ação corretiva é necessária, como limpeza, devido à eficiência estar acima do limite estabelecido. Manter monitoramento passivo.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",25.94
painel_30,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_30 apresenta uma eficiência de 94.9%, acima do limite de 88%, indicando operação normal. Detecções visuais de sujeira ou anomalias não justificam intervenção devido à alta eficiência.

**Causa Raiz:** A eficiência do painel está acima de 88%, o que, de acordo com os princípios estabelecidos, indica que o painel está gerando energia normalmente, independentemente de detecções visuais de sujeira ou anomalias.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",25.23
painel_81,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_81 apresenta uma eficiência de 94.5%, acima do limite de 88%, indicando geração de energia normal. A detecção visual pelo YOLO com baixa confiança não justifica intervenção devido à alta eficiência.

**Causa Raiz:** A detecção visual incerta pelo YOLO com confiança de 0.29 para ""Defective"" é considerada um falso positivo devido à alta eficiência do painel, que está acima do limite estabelecido.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",24.73
painel_07,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_07 apresenta uma eficiência de 93.2%, indicando geração ótima de energia, apesar de detecções visuais de anomalias. A eficiência alta sugere que o painel está operando normalmente.

**Causa Raiz:** As detecções visuais de **Defective** e **Dust** não correspondem a uma perda de eficiência mensurável, de acordo com os princípios de engenharia de O&M, especificamente o PRINCÍPIO 1 e o PRINCÍPIO 2.

**Contramedidas:** Nenhuma ação corretiva é necessária, pois as detecções visuais não justificam a limpeza ou manutenção do painel.

**Prazo Sugerido:** 
- FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",26.75
painel_41,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_41 apresenta uma eficiência de 94.6%, acima do limite de 88%, indicando operação normal. Detecções visuais de sujeira ou anomalias não justificam intervenção devido à alta eficiência.

**Causa Raiz:** A causa raiz é a discordância entre as detecções visuais (YOLO) e a eficiência elétrica do painel, que é considerada soberana de acordo com o PRINCÍPIO 1. A alta eficiência anula a necessidade de considerar as detecções visuais como relevantes para intervenção.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel, considerando a eficiência elétrica como parâmetro soberano.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",28.74
painel_14,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_14 apresenta uma eficiência de 94.0%, acima do limite estabelecido, indicando operação ótima. Uma detecção de anomalia com baixa confiança foi registrada, mas a alta eficiência sugere que o painel está operando normalmente.

**Causa Raiz:** A detecção de anomalia pelo YOLO com baixa confiança (0.34) não é justificada pela alta eficiência do painel (94.0%), indicando um falso positivo.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel_14.

**Prazo Sugerido:** 
- FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",24.49
painel_62,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_62 apresenta uma eficiência de 92.4%, acima do limite de 88% estabelecido, e o sensor visual detectou uma anomalia com confiança média, mas a eficiência elétrica está dentro da faixa normal.

**Causa Raiz:** A detecção visual de anomalia com confiança média (0.43) não é justificada pela eficiência elétrica, que está acima de 88%, indicando um falso positivo.

**Contramedidas:** Nenhuma ação corretiva é necessária, pois a eficiência do painel está dentro dos parâmetros aceitáveis e a limpeza não é justificada economicamente.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",26.48
painel_31,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_31 apresenta uma eficiência de 97.2%, acima do limite de 88% estabelecido, indicando operação normal. A detecção visual pelo sensor YOLO tem baixa confiança, com um score de 0.34.

**Causa Raiz:** A causa raiz é a detecção visual com baixa confiança pelo sensor YOLO, que não justifica intervenção devido à alta eficiência do painel.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel_31.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",25.22
painel_66,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_66 apresenta uma eficiência de 93.3%, indicando geração ótima de energia, apesar de detecções visuais de anomalias com baixa confiança. O status do painel é de operação normal.

**Causa Raiz:** A alta eficiência do painel (93.3%) e a baixa confiança nas detecções visuais de anomalias (""Bird Drop"" com score de 0.42 e ""Defective"" com score de 0.31) justificam a classificação como falso positivo, não requerendo intervenção.

**Contramedidas:** Nenhuma ação de limpeza ou manutenção elétrica é necessária. O painel deve continuar operando normalmente, com monitoramento passivo.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",24.74
painel_34,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_34 apresenta uma eficiência de 94.8%, acima do limite de 88%, indicando operação normal. Detecções visuais de sujeira e anomalias são consideradas falso positivo devido à alta eficiência.

**Causa Raiz:** A alta eficiência do painel (94.8%) indica que as detecções visuais de sujeira e anomalias não estão afetando significativamente a geração de energia, justificando o tratamento como falso positivo.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",27.1
painel_01,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_01 apresenta uma eficiência de 92.6%, acima do limite de 88%, indicando operação normal. Detecções visuais de ""Dust"" e ""Defective"" têm scores de confiança baixos, não justificando intervenção.

**Causa Raiz:** A alta eficiência do painel (92.6%) e os baixos scores de confiança das detecções visuais (0.31 e 0.27) indicam que as detecções visuais não são significativas o suficiente para justificar uma intervenção.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",25.76
painel_70,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_70 apresenta uma eficiência de 96.4%, acima do limite de 88%, indicando operação normal. Detecções visuais de sujeira e anomalias não justificam intervenção devido à alta eficiência.

**Causa Raiz:** A causa raiz é a detecção visual de sujeira e anomalias com baixa confiança (0.46 para **Dust** e 0.27 para **Defective**), que não se traduzem em perda mensurável de eficiência, considerando a alta eficiência do painel.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo e continuar operação normal do painel.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",28.22
painel_35,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_35 apresenta uma eficiência de 94.4%, acima do limite de 88%, indicando operação normal. A detecção visual de neve pelo YOLO tem baixa confiança, não justificando intervenção.

**Causa Raiz:** A alta eficiência do painel (94.4%) e a baixa confiança da detecção visual (0.29) indicam que a detecção de neve é um falso positivo, não requerendo ação corretiva.

**Contramedidas:** Nenhuma ação corretiva é necessária. O painel deve continuar a ser monitorado para garantir que sua eficiência se mantenha dentro dos parâmetros aceitáveis.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",25.87
painel_82,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_82 apresenta uma eficiência de 93.1%, acima do limiar de 88%, indicando operação normal. A detecção visual do YOLO com baixo score de confiança não justifica intervenção.

**Causa Raiz:** A detecção do YOLO com um score de confiança baixo (0.31) para ""Defective"" não é suficiente para justificar intervenção, considerando a alta eficiência do painel.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel_82.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",12.74
painel_26,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_26 apresenta uma eficiência de 93.5%, acima do limite de 88% estabelecido, indicando operação normal. Detecções visuais de sujeira ou anomalias são consideradas falso positivo devido à alta eficiência.

**Causa Raiz:** A alta eficiência do painel (93.5%) e a ausência de perda mensurável justificam que as detecções visuais sejam consideradas falso positivo, de acordo com os princípios de O&M.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel para garantir que a eficiência continue dentro dos parâmetros normais.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",4.48
painel_40,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_40 apresenta uma eficiência de 95.3%, acima do limite de 88%, indicando operação normal. A detecção visual de snow tem baixa confiança (0.38), não justificando intervenção.

**Causa Raiz:** A detecção visual de snow com baixa confiança (0.38) não é suficiente para justificar uma intervenção de limpeza ou manutenção, considerando a alta eficiência do painel.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",4.18
painel_79,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_79 apresentou detecções visuais com baixa confiança, mas a eficiência está em 97.8%, considerada ótima e acima do limiar de 88%. O painel está operando dentro de parâmetros normais.

**Causa Raiz:** A detecção visual com baixa confiança não é justificativa para intervenção devido à alta eficiência do painel, indicando um falso positivo do sensor.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",22.62
painel_37,B (Falso Positivo),FALSO_POSITIVO_IGNORADO,FALSO_POSITIVO_IGNORADO,True,"### TEMPLATE A3 OBRIGATÓRIO:

**Código de Decisão:** [CÓDIGO: FALSO_POSITIVO_IGNORADO]

**Contexto:** O painel_37 apresenta uma eficiência de 94.9%, acima do limite de 88% estabelecido, indicando operação normal. Detecções visuais de sujeira ou anomalias têm baixa confiança.

**Causa Raiz:** A causa raiz é a detecção visual de baixa confiança (0.38 para ""Defective"" e 0.31 para ""Dust"") que não se alinha com a alta eficiência do painel, sugerindo um falso positivo do sensor.

**Contramedidas:** Nenhuma ação corretiva é necessária. Manter monitoramento passivo do painel, considerando a eficiência alta e as detecções visuais de baixa confiança como falso positivo.

**Prazo Sugerido:** FALSO_POSITIVO_IGNORADO → Nenhuma ação. Manter monitoramento passivo.",26.44
