Painel,YOLO_Output
painel_27,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_28,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.61}, {""objeto"": ""Dust"", ""confianca"": 0.29}]}"
painel_29,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.43}]}"
painel_30,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.54}, {""objeto"": ""Dust"", ""confianca"": 0.53}]}"
painel_31,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Non Defective"", ""confianca"": 0.34}]}"
painel_32,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_33,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.25}]}"
painel_34,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.59}, {""objeto"": ""Dust"", ""confianca"": 0.59}]}"
painel_35,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Snow"", ""confianca"": 0.29}]}"
painel_36,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_37,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.38}, {""objeto"": ""Dust"", ""confianca"": 0.31}]}"
painel_38,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_39,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.46}, {""objeto"": ""Dust"", ""confianca"": 0.45}]}"
painel_40,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Snow"", ""confianca"": 0.38}]}"
painel_41,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.64}, {""objeto"": ""Defective"", ""confianca"": 0.58}]}"
painel_42,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_43,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.26}]}"
painel_44,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.44}]}"
painel_45,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_46,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_47,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_48,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.4}]}"
painel_49,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_50,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_51,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Snow"", ""confianca"": 0.46}]}"
painel_52,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.4}]}"
painel_53,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_54,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.3}]}"
painel_55,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_56,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_57,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_58,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_59,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.27}]}"
painel_60,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_61,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.41}, {""objeto"": ""Dust"", ""confianca"": 0.32}]}"
painel_62,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.43}]}"
painel_63,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_64,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_65,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_66,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Bird Drop"", ""confianca"": 0.42}, {""objeto"": ""Defective"", ""confianca"": 0.31}]}"
painel_67,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.44}, {""objeto"": ""Defective"", ""confianca"": 0.42}]}"
painel_68,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.35}]}"
painel_69,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_70,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.46}, {""objeto"": ""Defective"", ""confianca"": 0.27}]}"
painel_71,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_72,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_73,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_74,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.41}, {""objeto"": ""Dust"", ""confianca"": 0.35}]}"
painel_75,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_76,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.49}, {""objeto"": ""Dust"", ""confianca"": 0.36}, {""objeto"": ""Defective"", ""confianca"": 0.32}]}"
painel_77,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_78,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.71}, {""objeto"": ""Dust"", ""confianca"": 0.63}]}"
painel_79,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.38}, {""objeto"": ""Dust"", ""confianca"": 0.27}]}"
painel_80,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.49}, {""objeto"": ""Dust"", ""confianca"": 0.36}, {""objeto"": ""Defective"", ""confianca"": 0.32}]}"
painel_81,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.29}]}"
painel_82,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.31}]}"
painel_83,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_84,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.5}, {""objeto"": ""Dust"", ""confianca"": 0.28}]}"
painel_85,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.52}]}"
painel_86,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.47}, {""objeto"": ""Dust"", ""confianca"": 0.4}]}"
painel_87,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_88,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.46}, {""objeto"": ""Defective"", ""confianca"": 0.34}]}"
painel_89,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_90,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_91,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_92,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_93,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.48}, {""objeto"": ""Defective"", ""confianca"": 0.41}]}"
painel_94,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_95,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_96,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_97,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_98,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.36}, {""objeto"": ""Defective"", ""confianca"": 0.36}]}"
painel_99,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_100,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.3}]}"
